questionnaire,id,question,context,answers,type
1,ee0437c0-6335-4b88-8bc5-d4eb8e2c68bf,Do you consent to our data processing practices?,"Yes, I consent to your data processing practices as outlined in your privacy policy.  I've reviewed the policy and understand how my information will be used and protected.","[{'text': ['Yes'], 'answer_start': [0]}]",SINGLE_SELECT
1,d357ab84-929f-440a-b9ad-42ff36402a53,Do you consent to our data processing practices?,"No, I do not consent to your data processing practices at this time.  I would need more information about your specific practices and security measures before I could agree.","[{'text': ['No'], 'answer_start': [0]}]",SINGLE_SELECT
1,53cc44fa-397b-40bf-8af8-3f629818c93b,Which customer group are you targeting?,"Our primary target customer group is the end user.  We're focusing on developing products and services that directly benefit individual consumers, rather than businesses or other organizations.  This allows us to tailor our offerings to specific needs and preferences within the consumer market.","[{'text': ['end user', 'individual consumers'], 'answer_start': [41, 125]}]",SINGLE_SELECT
1,bab850d1-2de8-4cae-9f87-2c86d41615e8,Which customer group are you targeting?,"Our focus is on wholesalers and distributors. We believe that by working effectively with these partners, we can reach a wider audience and ensure our products are readily available to end-users across various markets.  This approach allows us to leverage their existing distribution networks and expertise.","[{'text': ['wholesalers and distributors'], 'answer_start': [16]}]",SINGLE_SELECT
1,31ffae1e-f742-4a0b-b279-eb393483f075,Which customer group are you targeting?,"We are primarily targeting consultants, planners, and architects.  These professionals play a key role in specifying and recommending products for large-scale projects, and their expertise is invaluable in ensuring our solutions are appropriately integrated and utilized.  We are building strong relationships with these groups.","[{'text': ['consultants, planners, and architects'], 'answer_start': [27]}]",SINGLE_SELECT
1,ed56f777-a7cd-48db-9d36-e2579c57e361,Which customer group are you targeting?,"Our key customer group is R&D departments within various industries. We provide specialized tools and resources that support their research and development efforts, enabling them to innovate more efficiently and effectively. This focus allows us to contribute directly to advancements in various technological fields.","[{'text': ['R&D'], 'answer_start': [26]}]",SINGLE_SELECT
1,4ccbe8ae-ce37-4822-830a-542aa0475d30,Which of our products are you interested in?,We're particularly interested in your MY-SYSTEM product line.  Its advanced features and integration capabilities align perfectly with our current project needs. We've also reviewed the specifications for the JS EcoLine and are considering it as a potential supplementary solution.,"[{'text': ['MY-SYSTEM', 'JS EcoLine'], 'answer_start': [38, 209]}]",MULTI_SELECT
1,58fdea0d-46db-41ef-a089-825f6ebfbb99,Which of our products are you interested in?,"At this time, the Notion and JTS products are of most interest to us.  We're exploring how these products could improve our workflow efficiency.  We've also looked briefly at the AKW100, but require further information before we can assess its suitability.","[{'text': ['Notion', 'JTS'], 'answer_start': [18, 29]}]",MULTI_SELECT
1,13906f18-4e39-4d39-8da9-b5e49d9e4cc5,Which of our products are you interested in?,"We are currently evaluating the JTS system and the AKW100. The JTS seems like a strong fit for our immediate needs, while the AKW100 offers some intriguing long-term possibilities that we want to explore further.  We'll be requesting more detailed specifications on both.","[{'text': ['AKW100', 'JTS'], 'answer_start': [51, 32]}]",MULTI_SELECT
1,1098f7be-b411-427b-a27a-28e16019c454,Which of our products are you interested in?,"The JS EcoLine and AX100 are of particular interest to us right now.  The EcoLine's focus on sustainability aligns well with our company's values, while the AX100's capabilities seem ideally suited to address a specific challenge we're facing in our current project. We are looking forward to learning more.","[{'text': ['JS EcoLine', 'AX100'], 'answer_start': [4, 19]}]",MULTI_SELECT
1,313457eb-f171-4497-99d4-25fb971a9f9e,Which of our products are you interested in?,"We're very interested in both the AKW100 and the AX100.  The specifications for the AKW100 look promising for improving our production efficiency, and the AX100's compact design would be a significant benefit for our space-constrained workspace.  We'd appreciate more information on pricing and availability for both.","[{'text': ['AKW100', 'AX100'], 'answer_start': [34, 49]}]",MULTI_SELECT
1,92be0772-2471-4a67-bcb3-18894db1fb5d,Which of our products are you interested in?,"The AX100 is the product that has caught our attention.  Its unique features address a key challenge we're currently facing, and initial reviews suggest it could significantly improve our operational efficiency. We'd like to explore the AX100 further and discuss potential integration with our existing systems.","[{'text': ['AX100', 'AX100'], 'answer_start': [4, 237]}]",MULTI_SELECT
1,54c28cbb-1da5-4797-a60a-69bf7f67d4d6,What kind of follow up is planned?,We plan to follow up with a phone call next week to discuss the next steps.  We feel this will allow for a more detailed conversation and quicker clarification of any outstanding questions.  We can then schedule a visit if necessary.,"[{'text': ['phone', 'schedule a visit'], 'answer_start': [28, 203]}]",MULTI_SELECT
1,46cd9717-6aa9-4d75-8bc6-965b4fdf7d9d,What kind of follow up is planned?,We'll be scheduling a visit to your facility in the coming weeks. A preliminary phone call to coordinate logistics and answer any immediate questions will be made beforehand.  This site visit will allow us to get a better understanding of how your products would integrate into our operations.,"[{'text': ['scheduling a visit', 'phone'], 'answer_start': [9, 80]}]",MULTI_SELECT
1,fd93612d-b5a7-4ac8-b3bf-6b2e441f7ef6,What kind of follow up is planned?,"At this stage, we plan to schedule a visit to see the product in action and discuss implementation details. This will give us a better understanding of the capabilities and allow us to ask any remaining questions.  We’ll be in touch soon to arrange a suitable date and time.","[{'text': ['schedule a visit'], 'answer_start': [26]}]",MULTI_SELECT
1,0448361d-b380-4a4b-ac53-db242983a293,What kind of follow up is planned?,No further action is planned at this time. We appreciate the information provided and will reach out if we have any further questions.,"[{'text': ['No further action'], 'answer_start': [0]}]",MULTI_SELECT
